Ex_id,Description,Type
TRAINER0,2319509130,6763,TrainerName24
TRAINER1,1197623432,7991,TrainerName30
TRAINER2,1078768328,8419,TrainerName14
TRAINER3,7893987125,5511,TrainerName41
TRAINER4,3443932923,3743,TrainerName17
TRAINER5,5856421456,7514,TrainerName28
TRAINER6,4801386560,5892,TrainerName35
TRAINER7,4177099264,9767,TrainerName31
TRAINER8,9905771648,6032,TrainerName23
TRAINER9,5169429147,5484,TrainerName4
TRAINER10,7509239007,3593,TrainerName30
TRAINER11,8793373437,2719,TrainerName44
TRAINER12,3912264039,5661,TrainerName31
TRAINER13,8436869980,1152,TrainerName16
TRAINER14,5754151650,7782,TrainerName38
TRAINER15,1693625646,6192,TrainerName23
TRAINER16,1493326774,2760,TrainerName26
TRAINER17,8425939418,1746,TrainerName18
TRAINER18,5698951345,1130,TrainerName45
TRAINER19,9772120603,5787,TrainerName27
TRAINER20,1078553398,3405,TrainerName36
TRAINER21,7022151995,2289,TrainerName24
TRAINER22,6316385270,9151,TrainerName47
TRAINER23,6095484315,8634,TrainerName28
TRAINER24,2776109972,7684,TrainerName7
TRAINER25,8753917121,4151,TrainerName20
TRAINER26,1322181130,1246,TrainerName15
TRAINER27,1419741290,3743,TrainerName30
TRAINER28,2765720220,6803,TrainerName47
TRAINER29,7694490629,9224,TrainerName6
